platform_count,privacy_setting,respondents
0,mixed,8
0,private,72
0,public,12
1,mixed,70
1,private,452
1,public,111
2,mixed,218
2,private,699
2,public,155
3,mixed,215
3,private,417
3,public,129
4,mixed,90
4,private,102
4,public,46
5,mixed,8
5,private,18
5,public,5
