slug,title,tease,excerpt,date,author,tags,content_type,hide
welcome,"Why scientific data essays","","A behind-the-scenes look at our work at VERSO",6/19/2025,"Jonathan St-Onge","announcement,welcome,dagster,principled data processing",markdown,
allotax-ui,"Hello Allotaxonometer-ui","Bridging the divide between interactive and static data visualizations","Bridging the divide between interactive and static data visualizations",6/19/2025,"Jonathan St-Onge","library, front-end",markdown,
