label,T
1,5541
2,7307
3,9513
4,12188
5,14723
6,17080
7,19798
8,23358
9,26451
10,28663
11,31022
12,33929
13,35999
14,38031
15,39885
16,42898
17,46097
18,48014
19,50858
20,53469
21,56990
22,60728
23,64142
24,66736
