label,T
I,0
II,4126
III,8336
IV,13045
V,21107
VI,25782
VII,29225
VIII,32583
IX,38182
X,43995
XI,49685
XII,55708
XIII,60309
XIV,64510
XV,69894
XVI,75308
XVII,79856
XVIII,85713
XIX,89873
XX,95887
XXI,99723
XXII,103977
XXIII,108535
XXIV,112232
