T,power,danger,structure,coverage
18000,-0.01370,-0.10307,-0.00157,0.312
18100,-0.01365,-0.10315,-0.00082,0.313
18200,-0.01352,-0.10327,-0.00069,0.314
18300,-0.01446,-0.10311,-0.00052,0.314
18400,-0.01417,-0.10309,-0.00026,0.313
18500,-0.01415,-0.10332,-0.00037,0.314
18600,-0.01390,-0.10323,-0.00013,0.314
18700,-0.01299,-0.10284,0.00060,0.314
18800,-0.01212,-0.10264,0.00115,0.315
18900,-0.01221,-0.10271,0.00174,0.315
19000,-0.01251,-0.10198,0.00177,0.314
19100,-0.01130,-0.10262,0.00191,0.314
19200,-0.01140,-0.10292,0.00200,0.314
19300,-0.01063,-0.10289,0.00187,0.313
19400,-0.01043,-0.10271,0.00232,0.313
19500,-0.01046,-0.10407,0.00247,0.312
19600,-0.01006,-0.10473,0.00237,0.311
19700,-0.00960,-0.10534,0.00267,0.311
19800,-0.00901,-0.10512,0.00286,0.310
19900,-0.00864,-0.10462,0.00291,0.310
20000,-0.00834,-0.10422,0.00316,0.310
20100,-0.00801,-0.10486,0.00317,0.310
20200,-0.00728,-0.10526,0.00319,0.310
20300,-0.00540,-0.10480,0.00351,0.310
20400,-0.00487,-0.10535,0.00381,0.310
20500,-0.00415,-0.10634,0.00413,0.310
20600,-0.00353,-0.10711,0.00458,0.309
20700,-0.00310,-0.10619,0.00455,0.310
20800,-0.00215,-0.10520,0.00497,0.309
20900,-0.00039,-0.10562,0.00510,0.309
21000,-0.00108,-0.10514,0.00480,0.308
21100,-0.00027,-0.10368,0.00405,0.308
21200,-0.00111,-0.10416,0.00381,0.308
21300,0.00163,-0.10545,0.00360,0.308
21400,0.00136,-0.10676,0.00306,0.308
21500,-0.00007,-0.10863,0.00268,0.307
21600,0.00082,-0.10970,0.00237,0.307
21700,-0.00012,-0.11050,0.00194,0.306
21800,-0.00122,-0.11027,0.00145,0.307
21900,-0.00040,-0.11088,0.00124,0.307
22000,-0.00042,-0.11023,0.00150,0.307
22100,0.00029,-0.11133,0.00176,0.307
22200,0.00079,-0.11225,0.00168,0.307
22300,0.00079,-0.11271,0.00175,0.307
22400,0.00073,-0.11435,0.00121,0.306
22500,0.00005,-0.11451,0.00107,0.305
22600,-0.00072,-0.11374,0.00126,0.305
22700,-0.00146,-0.11376,0.00127,0.304
22800,-0.00190,-0.11451,0.00120,0.302
22900,-0.00171,-0.11485,0.00129,0.303
23000,-0.00127,-0.11513,0.00119,0.302
23100,-0.00054,-0.11432,0.00152,0.302
23200,-0.00029,-0.11327,0.00119,0.302
23300,0.00018,-0.11343,0.00093,0.302
23400,-0.00018,-0.11325,0.00073,0.302
23500,0.00093,-0.11345,0.00092,0.302
23600,0.00132,-0.11339,0.00054,0.302
23700,0.00181,-0.11378,0.00028,0.301
23800,0.00125,-0.11333,0.00049,0.301
23900,0.00093,-0.11362,0.00061,0.299
24000,0.00059,-0.11314,0.00079,0.299
24100,0.00214,-0.11326,0.00060,0.300
24200,0.00272,-0.11454,0.00035,0.300
24300,0.00275,-0.11472,0.00035,0.299
24400,0.00198,-0.11566,0.00026,0.298
24500,0.00277,-0.11599,-0.00026,0.297
24600,0.00291,-0.11629,-0.00068,0.297
24700,0.00336,-0.11625,-0.00055,0.296
24800,0.00431,-0.11742,-0.00014,0.295
24900,0.00431,-0.11591,0.00033,0.296
25000,0.00413,-0.11653,0.00054,0.295
25100,0.00479,-0.11687,0.00074,0.293
25200,0.00525,-0.11671,0.00067,0.292
25300,0.00666,-0.11708,0.00108,0.292
25400,0.00808,-0.11787,0.00072,0.293
25500,0.00962,-0.11846,0.00082,0.294
25600,0.01044,-0.11873,0.00072,0.295
25700,0.01097,-0.11924,0.00097,0.293
25800,0.01151,-0.11975,0.00109,0.292
25900,0.01185,-0.11983,0.00111,0.291
26000,0.01141,-0.11944,0.00045,0.291
26100,0.01163,-0.11908,0.00064,0.290
26200,0.01116,-0.11954,0.00063,0.289
26300,0.01120,-0.12061,0.00072,0.289
26400,0.01118,-0.12088,0.00074,0.290
26500,0.01123,-0.12137,0.00074,0.289
26600,0.01012,-0.12028,0.00060,0.290
26700,0.01026,-0.12111,0.00084,0.291
26800,0.01080,-0.12209,0.00090,0.290
26900,0.01149,-0.12158,0.00135,0.290
27000,0.01289,-0.12217,0.00129,0.289
27100,0.01355,-0.12281,0.00075,0.289
27200,0.01306,-0.12513,0.00100,0.289
27300,0.01406,-0.12574,0.00119,0.290
27400,0.01440,-0.12639,0.00138,0.290
27500,0.01537,-0.12651,0.00156,0.290
27600,0.01527,-0.12776,0.00168,0.290
27700,0.01639,-0.12856,0.00219,0.290
27800,0.01724,-0.12828,0.00181,0.289
27900,0.01654,-0.12676,0.00202,0.289
28000,0.01753,-0.12520,0.00250,0.289
28100,0.01796,-0.12418,0.00212,0.289
28200,0.01764,-0.12297,0.00178,0.288
28300,0.01758,-0.12227,0.00154,0.289
28400,0.01598,-0.12029,0.00130,0.290
28500,0.01535,-0.11837,0.00140,0.290
28600,0.01421,-0.11776,0.00125,0.289
28700,0.01274,-0.11622,0.00071,0.290
28800,0.01234,-0.11587,-0.00002,0.289
28900,0.01285,-0.11470,-0.00032,0.288
29000,0.01267,-0.11442,-0.00031,0.289
29100,0.01182,-0.11398,-0.00065,0.288
29200,0.01142,-0.11382,-0.00126,0.289
29300,0.01095,-0.11329,-0.00142,0.290
29400,0.01074,-0.11281,-0.00127,0.290
29500,0.01131,-0.11264,-0.00152,0.290
29600,0.01113,-0.11251,-0.00119,0.290
29700,0.01088,-0.11046,-0.00187,0.292
29800,0.01094,-0.11069,-0.00213,0.292
29900,0.01135,-0.11098,-0.00274,0.292
30000,0.01171,-0.11102,-0.00294,0.292
30100,0.01082,-0.10990,-0.00289,0.292
30200,0.01019,-0.10839,-0.00283,0.291
30300,0.00873,-0.10832,-0.00302,0.292
30400,0.00820,-0.10783,-0.00296,0.292
30500,0.00720,-0.10595,-0.00312,0.292
30600,0.00742,-0.10461,-0.00351,0.293
30700,0.00680,-0.10392,-0.00388,0.294
30800,0.00693,-0.10375,-0.00416,0.294
30900,0.00528,-0.10259,-0.00425,0.294
