label,T
I,0
II,5700
III,11187
IV,16915
V,22809
VI,26355
VII,32070
VIII,37747
IX,44066
X,50017
XI,55959
XII,61086
XIII,68377
XIV,74956
XV,81379
XVI,87193
XVII,91758
XVIII,97335
XIX,104247
XX,109928
XXI,115839
XXII,122016
XXIII,127472
XXIV,133141
XXV,139450
XXVI,145710
XXVII,152870
